"","Digital_Title","MMS ID","Permalink"
"1","1914-04-01",991025126748105728,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126748105716"
"2","1914-04-08",991025126748705664,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126748705716"
"3","1914-04-15",991025126748005760,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126748005716"
"4","1914-04-22",991025126749405696,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126749405716"
"5","1914-04-29",991025126748605696,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126748605716"
"6","1914-05-06",991025126748505728,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126748505716"
"7","1914-05-13",991025126747805696,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126747805716"
"8","1914-09-09",991025126749005696,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126749005716"
"9","1914-09-16",991025126748905728,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126748905716"
"10","1914-09-23",991025126748805760,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126748805716"
"11","1914-09-30",991025126748305664,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126748305716"
"12","1914-10-07",991025126747705728,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126747705716"
"13","1914-10-14",991025126749305728,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126749305716"
"14","1914-10-21",991025126749105664,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126749105716"
"15","1914-10-28",991025126747905664,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126747905716"
"16","1914-11-04",991025126749505664,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126749505716"
"17","1914-11-11",991025126749205760,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126749205716"
"18","1914-11-18",991025126748205696,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126748205716"
"19","1914-11-25",991025126749705728,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126749705716"
"20","1914-12-02",991025126749605760,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126749605716"
"21","1914-12-09",991025126748405760,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025126748405716"
"22","1915-01-20",991025133924405760,"https://davidson.primo.exlibrisgroup.com/permalink/01DCOLL_INST/1lben0i/alma991025133924405716"
